country,year,gdp,population,health_expenditure_per_capita,life_expectancy,gdp_per_capita,continent
Afghanistan,2016,19362642266.6484,35383128.0,61.451286315918,63.763,547.2281101503631,Asia
Albania,2016,11861200797.4707,2876101.0,,78.194,4124.055725953539,Europe
Algeria,2016,160033844070.572,40551404.0,260.422393798828,76.298,3946.4439768983584,Africa
American Samoa,2016,652000000.0,55741.0,,,11696.955562332932,
Andorra,2016,2896679211.86628,77297.0,3843.70288085938,,37474.665405724416,Europe
Angola,2016,101123851090.455,28842484.0,95.2208023071289,59.925,3506.0728850696423,Africa
Antigua and Barbuda,2016,1436585185.18519,94527.0,632.175354003906,76.617,15197.617455173548,North America
Argentina,2016,557531376217.967,43590368.0,959.291564941406,76.221,12790.242473244709,South America
Armenia,2016,10546135160.031,2936146.0,358.842102050781,74.64,3591.829275530236,Europe
Aruba,2016,2965921787.7095,104872.0,,75.868,28281.350481629986,
Australia,2016,1208846993739.99,24190907.0,4999.810546875,82.4487804878049,49971.13145612895,Oceania
Austria,2016,395227684138.862,8736668.0,4718.9443359375,81.6414634146342,45237.805092154354,Europe
Azerbaijan,2016,37867518957.1975,9757812.0,259.436859130859,72.493,3880.7387308955635,Europe
"Bahamas, The",2016,11938400000.0,377931.0,1837.2587890625,73.329,31588.834998981296,North America
Bahrain,2016,32250132978.7234,1425791.0,1099.3623046875,76.899,22619.11667188487,Asia
Bangladesh,2016,221415162445.648,157970840.0,33.5261917114258,71.785,1401.6204664458833,Asia
Barbados,2016,4830000000.0,285796.0,1163.77502441406,78.888,16900.166552366023,North America
Belarus,2016,47722657820.6675,9501534.0,297.542999267578,73.8268292682927,5022.626643304913,Europe
Belgium,2016,475900865683.644,11331422.0,4278.771484375,81.4390243902439,41998.33575023893,Europe
Belize,2016,1775100000.0,368400.0,300.151733398438,74.219,4818.403908794789,North America
Benin,2016,11821066152.598,10872067.0,30.4014759063721,60.885,1087.2878315225614,Africa
Bermuda,2016,,64554.0,,81.2270731707317,,
Bhutan,2016,2158972129.00307,736709.0,91.335334777832,70.781,2930.562988918379,Asia
Bolivia,2016,33941126193.9219,11031813.0,213.017333984375,70.626,3076.6589493424067,South America
Bosnia and Herzegovina,2016,16913330693.9653,3386267.0,443.776550292969,76.998,4994.683140450916,Europe
Botswana,2016,15646316818.3319,2159944.0,386.631958007813,68.178,7243.852997268401,Africa
Brazil,2016,1795700168991.49,206163058.0,795.661560058594,75.23,8710.096689541198,South America
British Virgin Islands,2016,,29355.0,,,,
Brunei Darussalam,2016,11400854267.7188,419800.0,686.482360839844,75.45,27157.823410478322,Asia
Bulgaria,2016,53785050339.3665,7127822.0,612.478576660156,74.8121951219512,7545.790332497992,Europe
Burkina Faso,2016,12822558021.8952,18646378.0,40.954662322998,60.354,687.6701749742068,Africa
Burundi,2016,2959640987.29943,10487998.0,22.3399829864502,60.528,282.19313040481416,Africa
Cabo Verde,2016,1662998677.88425,531146.0,149.276519775391,72.347,3130.9633846141173,Africa
Cambodia,2016,20016747754.0192,15766293.0,77.6736907958984,68.977,1269.5912573754147,Asia
Cameroon,2016,32643697595.8378,23926539.0,65.1211853027344,58.063,1364.3301104199734,Africa
Canada,2016,1528243213982.08,36109487.0,4518.13623046875,81.9,42322.48478030386,North America
Cayman Islands,2016,4898908676.34705,62569.0,,,78296.09992723312,
Central African Republic,2016,1825018190.85071,4537687.0,16.3604354858398,51.593,402.1912905960041,Africa
Chad,2016,10097778353.7651,14561666.0,34.6115684509277,53.438,693.4493864757715,Africa
Channel Islands,2016,,166923.0,,82.6,,
Chile,2016,250440136356.127,18209068.0,1190.54858398438,79.779,13753.594437459788,South America
China,2016,11233277146512.2,1378665000.0,398.331573486328,76.21,8147.938147782238,Asia
Colombia,2016,282825012368.255,48171392.0,419.335205078125,76.732,5871.2235753588975,South America
Comoros,2016,1012835518.26037,795592.0,57.5402717590332,63.7,1273.0589526545893,Africa
"Congo, Dem. Rep.",2016,37134799974.5225,78789127.0,20.6037197113037,59.655,471.318840409572,Africa
"Congo, Rep.",2016,9041986778.39021,4980999.0,52.9479827880859,63.556,1815.2958429403839,Africa
Costa Rica,2016,57157992434.1805,4899345.0,886.501342773438,79.738,11666.455910775929,North America
Cote d'Ivoire,2016,47964234560.0514,23822714.0,67.5706939697266,56.567,2013.3824617989117,Africa
Croatia,2016,51596973258.8892,4174349.0,840.905029296875,78.0219512195122,12360.483816491913,Europe
Cuba,2016,91370000000.0,11335109.0,972.758544921875,78.607,8060.795886479786,North America
Curacao,2016,3122287932.96089,159664.0,,77.719512195122,19555.365849289068,
Cyprus,2016,20890936462.2537,1170187.0,1636.82104492188,80.513,17852.64787786371,Europe
Czech Republic,2016,195090272402.729,10566332.0,1321.62023925781,79.0268292682927,18463.386575656434,Europe
Denmark,2016,313115929314.339,5728010.0,5565.59375,80.8536585365854,54663.998371919566,Europe
Djibouti,2016,2603554906.59464,929112.0,75.1489334106445,65.064,2802.1970511570617,Africa
Dominica,2016,576229629.629629,71307.0,411.9638671875,,8080.9686234118535,North America
Dominican Republic,2016,75704720189.5607,10397743.0,414.297088623047,73.471,7280.880109227618,North America
Ecuador,2016,99937696000.0,16491115.0,505.998352050781,76.365,6060.093329044155,South America
"Egypt, Arab Rep.",2016,332927833278.038,94447072.0,151.468505859375,71.482,3525.020164500579,Africa
El Salvador,2016,24191440000.0,6356143.0,293.785919189453,72.644,3805.9936662847263,North America
Equatorial Guinea,2016,11240809132.4145,1215179.0,290.344024658203,57.713,9250.331953082221,Africa
Eritrea,2016,,,29.3741779327393,65.111,,Africa
Estonia,2016,23996451497.6139,1315790.0,1185.29711914063,77.6414634146342,18237.295843268224,Europe
Eswatini,2016,3840677845.0034,1113984.0,193.782485961914,56.962,3447.695698505005,Africa
Ethiopia,2016,74296618481.0882,103603501.0,26.6730613708496,65.482,717.124592933285,Africa
Faroe Islands,2016,2689157270.82312,48173.0,,82.0463414634146,55822.91472034376,
Fiji,2016,4930204229.72263,872399.0,179.911590576172,67.175,5651.31806630066,Oceania
Finland,2016,240607907010.383,5495303.0,4094.89477539063,81.4292682926829,43784.28396220972,Europe
France,2016,2471285607081.72,66724104.0,4256.96142578125,82.5731707317073,37037.37418612201,Europe
French Polynesia,2016,,274575.0,,77.024,,
Gabon,2016,14023890620.3384,2007873.0,219.985092163086,65.418,6984.451018733954,Africa
"Gambia, The",2016,1470006033.90217,2149139.0,20.9121723175049,61.166,683.9976538986868,Africa
Georgia,2016,15141758566.7808,3727505.0,308.462951660156,73.207,4062.169887573806,Europe
Germany,2016,3466790065011.83,82348669.0,4734.18310546875,80.990243902439,42098.920445354495,Europe
Ghana,2016,55009730600.0307,28481946.0,67.5088653564453,63.124,1931.3894703694298,Africa
Gibraltar,2016,,33737.0,,,,
Greece,2016,195222443512.937,10775971.0,1499.35083007813,81.3878048780488,18116.459622333525,Europe
Greenland,2016,2707146783.13056,56186.0,,70.8487804878049,48181.87418806393,
Grenada,2016,1061631222.22222,110261.0,463.693176269531,72.408,9628.34748662011,North America
Guam,2016,5795000000.0,162951.0,,79.391,35562.83790832827,
Guatemala,2016,66053725049.0138,15827690.0,248.802200317383,73.541,4173.301666194739,North America
Guinea,2016,8603884845.39159,11738441.0,37.4593391418457,60.17,732.9665707219204,Africa
Guinea-Bissau,2016,1178204501.38801,1782437.0,52.1820411682129,57.328,661.0076549061819,Africa
Guyana,2016,3504024213.07506,771366.0,232.94059753418,69.454,4542.62206666493,South America
Haiti,2016,7970649131.23416,10839970.0,59.0942573547363,62.896,735.3017703217039,North America
Honduras,2016,21717622071.3816,9270795.0,194.632888793945,74.701,2342.5846511956743,North America
"Hong Kong SAR, China",2016,320837638328.846,7336600.0,,84.2268292682927,43731.106824529896,
Hungary,2016,127507473625.632,9814023.0,914.55859375,76.0634146341464,12992.375667514943,Europe
Iceland,2016,20618363255.7616,335439.0,5063.60595703125,82.2048780487805,61466.803966627616,Europe
India,2016,2294797978291.98,1324509589.0,60.6183815002441,68.897,1732.5642617842761,Asia
Indonesia,2016,931877364177.742,261554226.0,111.313835144043,71.035,3562.8457564197106,Asia
"Iran, Islamic Rep.",2016,417983578231.417,79564016.0,454.185546875,76.047,5253.424842599913,Asia
Iraq,2016,174878976033.937,36610632.0,149.510345458984,70.122,4776.726499393319,Asia
Ireland,2016,300523297712.96,4755335.0,4721.10546875,81.6536585365854,63197.08237441947,Europe
Isle of Man,2016,6592627599.24386,83287.0,,,79155.541672096,
Israel,2016,318950599017.506,8546000.0,2856.17895507813,82.4073170731707,37321.62403668453,Asia
Italy,2016,1875797463583.87,60627498.0,2736.2626953125,83.2439024390244,30939.71424622982,Europe
Jamaica,2016,14075894320.3166,2906238.0,280.178070068359,74.175,4843.338474108659,North America
Japan,2016,4922538141454.62,126994511.0,4174.904296875,83.9848780487805,38761.81815019249,Asia
Jordan,2016,39196676056.338,9551467.0,297.096343994141,74.184,4103.733599910674,Asia
Kazakhstan,2016,137278320084.171,17794055.0,262.138732910156,72.3,7714.841843760234,Asia
Kenya,2016,69188755364.2995,49051686.0,73.3969192504883,65.393,1410.5275680901061,Africa
Kiribati,2016,178328873.030033,112524.0,145.360321044922,67.577,1584.807445789636,Oceania
"Korea, Dem. Peopleâ€™s Rep.",2016,,25307744.0,,71.711,,
"Korea, Rep.",2016,1500111596236.37,51217803.0,2040.4052734375,82.2756097560976,29288.8704389833,Asia
Kosovo,2016,6719172016.82533,1777557.0,,71.6463414634146,3780.003688672335,
Kuwait,2016,109419728566.7,3956875.0,1072.73303222656,75.224,27653.066767764965,Asia
Kyrgyz Republic,2016,6813092065.83507,6079500.0,73.3558807373047,70.9512195121951,1120.6665130084825,Asia
Lao PDR,2016,15805692545.8723,6845846.0,55.2135887145996,66.924,2308.800482200783,Asia
Latvia,2016,27734140217.3664,1959537.0,874.20361328125,74.580487804878,14153.414922691636,Europe
Lebanon,2016,51205122503.8143,6711121.0,667.299560546875,78.8,7629.891117119524,Asia
Lesotho,2016,2165408361.59639,2075001.0,84.1624603271484,52.059,1043.5697918200472,Africa
Liberia,2016,3277826000.0,4586788.0,69.5757522583008,62.802,714.6233922300311,Africa
Libya,2016,26197143268.1243,6492164.0,,72.311,4035.1943155047065,Africa
Liechtenstein,2016,6237264055.20601,37658.0,,82.2585365853659,165629.19048292554,Europe
Lithuania,2016,43021972484.8299,2868231.0,988.527954101563,74.6707317073171,14999.479639132936,Europe
Luxembourg,2016,60691483443.1221,582014.0,5595.55419921875,82.6853658536585,104278.39097190464,Europe
"Macao SAR, China",2016,45387299721.0792,612836.0,,83.854,74061.08603456586,
Madagascar,2016,11848615018.4138,24894380.0,24.470724105835,65.931,475.95541718306697,Africa
Malawi,2016,5433040159.88747,17205289.0,29.4262447357178,62.681,315.77732637257475,Africa
Malaysia,2016,301255454041.415,30684804.0,361.52197265625,75.649,9817.740860962154,Asia
Maldives,2016,4379136461.83077,475513.0,1052.51611328125,78.013,9209.288624771078,Asia
Mali,2016,14020002871.0282,17965429.0,29.3947067260742,57.987,780.3878700045626,Africa
Malta,2016,11444483133.7171,455356.0,2328.236328125,82.4536585365854,25133.04564717957,Europe
Marshall Islands,2016,200558400.0,57735.0,666.474243164063,,3473.7750064951933,Oceania
Mauritania,2016,6398744505.08129,4163534.0,44.8945274353027,64.208,1536.8541496433775,Africa
Mauritius,2016,12232463655.5727,1263473.0,553.096557617188,74.3948780487805,9681.618566896721,Africa
Mexico,2016,1077903618176.07,123333376.0,474.609893798828,74.917,8739.756042809287,North America
"Micronesia, Fed. Sts.",2016,332265200.0,110215.0,397.153472900391,67.471,3014.700358390419,Oceania
Moldova,2016,8071480540.86068,2802170.0,171.194107055664,71.617,2880.439281292955,Europe
Monaco,2016,6472990923.1791,38070.0,2938.53442382813,,170028.65571786446,Europe
Mongolia,2016,11186734674.3847,3056359.0,163.457733154297,69.321,3660.1507461606116,Asia
Montenegro,2016,4377033429.26721,622303.0,,76.568,7033.604898686347,Europe
Morocco,2016,103311649248.024,35126296.0,153.45491027832,75.974,2941.14839913733,Africa
Mozambique,2016,11936999283.1791,27829942.0,19.4534645080566,58.309,428.92648799552296,Africa
Myanmar,2016,67184236746.5694,53045226.0,58.1933174133301,66.205,1266.5463381486845,Asia
Namibia,2016,10665634660.8833,2358041.0,414.467681884766,62.625,4523.0912697799995,Africa
Nauru,2016,100087348.959092,13049.0,1264.29260253906,,7670.116404252587,Oceania
Nepal,2016,21185922407.5922,27261131.0,45.4529800415039,69.848,777.1475955121672,Asia
Netherlands,2016,783528181704.567,17030314.0,4753.376953125,81.5609756097561,46007.852920654725,Europe
New Caledonia,2016,,276550.0,,76.9615007371216,,
New Zealand,2016,188223664746.524,4693200.0,3745.21630859375,81.6124390243903,40105.61338671354,Oceania
Nicaragua,2016,13286048705.496,6303974.0,188.462371826172,73.86,2107.5671799242828,North America
Niger,2016,10284627189.6492,20788838.0,22.6833400726318,61.137,494.7187134581163,Africa
Nigeria,2016,404649527537.753,185960289.0,79.3622131347656,53.541,2175.9996702185863,Africa
North Macedonia,2016,10672471860.7184,2080745.0,327.418518066406,75.498,5129.15896023703,Europe
Northern Mariana Islands,2016,1250000000.0,56188.0,,,22246.743076813553,
Norway,2016,368819929542.194,5234519.0,7496.7685546875,82.4073170731707,70459.18250410285,Europe
Oman,2016,65481144343.303,4479219.0,645.118225097656,77.142,14618.875376109763,Asia
Pakistan,2016,278654637737.69,203627284.0,41.0112113952637,66.77,1368.4543262762863,Asia
Palau,2016,300125600.0,17725.0,1674.55029296875,,16932.33286318759,Oceania
Panama,2016,57907700000.0,4037078.0,1040.40087890625,77.964,14343.96362913969,North America
Papua New Guinea,2016,20759069103.0961,8271760.0,59.8406982421875,63.744,2509.631457283105,Oceania
Paraguay,2016,36054281572.3981,6777872.0,360.545196533203,73.836,5319.410217897019,South America
Peru,2016,191895943823.887,30926032.0,309.962188720703,76.044,6204.997260039277,South America
Philippines,2016,318627003965.493,103663927.0,130.045959472656,70.802,3073.653614969583,Asia
Poland,2016,472037130972.913,37970087.0,813.472778320313,77.8512195121951,12431.815891623135,Europe
Portugal,2016,206286022781.894,10325452.0,1802.77429199219,81.1243902439025,19978.401214968024,Europe
Puerto Rico,2016,104336700000.0,3406672.0,,79.4949756097561,30627.16340170113,
Qatar,2016,151732142857.143,2654374.0,1800.47436523438,79.868,57163.060991835744,Asia
Romania,2016,188494136775.719,19702267.0,476.243560791016,75.209756097561,9567.129344847423,Europe
Russian Federation,2016,1276786979221.81,144342396.0,469.130920410156,71.6512195121951,8845.543752937356,Asia
Rwanda,2016,8734161827.57353,11668818.0,48.0970420837402,67.93,748.5044181487389,Africa
Samoa,2016,799376439.530168,194535.0,227.150131225586,72.895,4109.165134963724,Oceania
San Marino,2016,1468895284.48085,33504.0,3021.6533203125,,43842.38552056023,Europe
Sao Tome and Principe,2016,347544771.975132,203227.0,110.251152038574,69.67,1710.1308978390273,Africa
Saudi Arabia,2016,644935541440.0,32442572.0,1166.08129882813,74.761,19879.29753041775,Asia
Senegal,2016,19040312815.1337,14993528.0,52.6042060852051,67.078,1269.9021081051571,Africa
Serbia,2016,40630392018.541,7058322.0,496.415618896484,75.6878048780488,5756.38119351044,Europe
Seychelles,2016,1426651766.47613,94677.0,784.597839355469,74.309756097561,15068.620324641994,Africa
Sierra Leone,2016,3674794530.18956,7328838.0,86.3081893920898,53.444,501.41571285783095,Africa
Singapore,2016,318652334419.11,5607283.0,2489.90600585938,82.8463414634146,56828.295347160114,Asia
Sint Maarten (Dutch part),2016,,39969.0,,78.2926829268293,,
Slovak Republic,2016,89640616270.8866,5430798.0,1174.79858398438,77.1658536585366,16505.97504655607,Europe
Slovenia,2016,44651537259.9731,2065042.0,1834.16076660156,81.1756097560976,21622.580683575976,Europe
Solomon Islands,2016,1230459714.14912,619437.0,106.338592529297,72.424,1986.4162362744235,Oceania
Somalia,2016,,14185613.0,,56.324,,Africa
South Africa,2016,296357282715.109,56203654.0,428.296875,63.153,5272.918424754181,Africa
South Sudan,2016,,10832512.0,,57.12,,Africa
Spain,2016,1232076017361.53,46484062.0,2390.63110351563,83.3292682926829,26505.34321552041,Europe
Sri Lanka,2016,82401038709.5356,21203000.0,153.096786499023,76.482,3886.291501652389,Asia
St. Kitts and Nevis,2016,971162962.962963,51625.0,871.8046875,,18811.87337458524,North America
St. Lucia,2016,1865375222.22222,180024.0,492.895446777344,75.752,10361.814103798493,North America
St. Martin (French part),2016,,36065.0,,79.6219512195122,,
St. Vincent and the Grenadines,2016,774429629.62963,109459.0,305.752532958984,72.193,7075.065820349446,North America
Sudan,2016,51772232494.854,39847440.0,165.936996459961,64.663,1299.26119456743,Africa
Suriname,2016,3128953536.91038,564888.0,356.051513671875,71.358,5539.068871900943,South America
Sweden,2016,515654671469.547,9923085.0,5707.05810546875,82.3073170731707,51965.157153198525,Europe
Switzerland,2016,671309197376.701,8373338.0,9835.9638671875,83.6024390243903,80172.23207479515,Europe
Syrian Arab Republic,2016,,17453933.0,,70.315,,Asia
Tajikistan,2016,6952678127.03396,8663579.0,55.7430114746094,70.397,802.5180040528239,Asia
Tanzania,2016,49774021003.0747,53050790.0,35.4996757507324,63.844,938.2333609560706,Africa
Thailand,2016,413430123185.367,68971331.0,225.346710205078,76.403,5994.231475471555,Asia
Timor-Leste,2016,1656039024.02723,1219288.0,79.8939361572266,68.735,1358.2016915012941,Asia
Togo,2016,4486979198.3066,7509952.0,38.7713737487793,60.22,597.4710888041095,Africa
Tonga,2016,401109307.359307,101133.0,206.609786987305,70.607,3966.1565202189886,Oceania
Trinidad and Tobago,2016,22284780326.8856,1377564.0,1092.94567871094,73.1,16176.94737005729,North America
Tunisia,2016,41801210428.3054,11303946.0,256.501831054688,76.115,3697.930831260641,Africa
Turkey,2016,863721648058.011,79821724.0,468.646667480469,76.86,10820.633842210813,Asia
Turkmenistan,2016,36180000000.0,5662372.0,423.046722412109,67.835,6389.548408334882,Asia
Turks and Caicos Islands,2016,950357510.0,36559.0,,,25995.172460953527,
Tuvalu,2016,36547799.583705,11225.0,554.21826171875,,3255.9286934258353,Oceania
Uganda,2016,28967460676.8252,39647506.0,38.9672241210938,61.986,730.625040496247,Africa
Ukraine,2016,93355993628.5042,45004674.0,141.935348510742,71.4763414634146,2074.362179103979,Europe
United Arab Emirates,2016,357045064669.843,9360980.0,1310.92309570313,77.47,38141.84675854911,Asia
United Kingdom,2016,2694283209613.29,65611593.0,3945.00903320313,81.1560975609756,41064.13343162221,Europe
United States,2016,18707188235000.0,322941311.0,9941.34765625,78.5390243902439,57927.51685150619,North America
Uruguay,2016,52687612261.5424,3424132.0,1400.705078125,77.498,15387.144029944639,South America
Uzbekistan,2016,81779012350.8833,31847900.0,135.43928527832,71.171,2567.7992065688254,Asia
Vanuatu,2016,804332795.575017,278330.0,109.94506072998,70.021,2889.853036234028,Oceania
"Venezuela, RB",2016,,29846179.0,296.938903808594,72.405,,South America
Vietnam,2016,205276172134.901,93638724.0,122.841171264648,75.172,2192.2145386656593,Asia
Virgin Islands (U.S.),2016,3863000000.0,107510.0,,79.2682926829268,35931.54125197656,
West Bank and Gaza,2016,13425700000.0,4367088.0,,73.589,3074.291152365146,
"Yemen, Rep.",2016,28084676409.1858,27168210.0,,66.087,1033.7330434793384,Asia
Zambia,2016,20954761767.1586,16363507.0,56.5441818237305,62.464,1280.5788983473165,Africa
Zimbabwe,2016,20548678100.0,14030390.0,98.5796356201172,60.294,1464.5835290394637,Africa
